type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
BMHSK;101418;Bundeshandelsakademie und Bundeshandelsschule;1840815.4,6081205.81;Bad Kissingen-Platz 3;7001;Eisenstadt;öffentl.;27;632;229;403
BMHSW;101429;Private Höhere Lehranstalt und Fachschule für wirtschaftliche Berufe des Vereins der Schulen der Schwestern vom Göttlichen Erlöser(Leitung: 101026);1837887.26,6081328.7;Theresianum, Kalvarienbergplatz 8;7000;Eisenstadt;privat;14;323;73;250
BMHST;101437;Höhere technische Bundeslehranstalt;1840815.4,6081205.81;Bad Kissingen-Platz 3;7000;Eisenstadt;öffentl.;37;910;846;64
LFMS;101710;Landwirtschaftliche Fachschule;1839906.18,6081297.26;Neusiedler Straße 6;7000;Eisenstadt;öffentl.;3;78;61;17
GKS;101920;BFI Burgenland -  Pflegeausbildung am Standort Eisenstadt;1837792.26,6081050.71;Wienerstraße 7;7000;Eisenstadt;privat;0;16;2;14
GKS;101930;WIFI Burgenland - Ausbildungen im Gesundheitsbereich am Standort Eisenstadt;1839802.94,6080687.59;Robert-Graf-Platz 1;7000;Eisenstadt;privat;0;26;1;25
VS;102011;Volksschule;1855228.74,6073850.9;Baumgartengasse 15;7071;Rust;öffentl.;3;51;25;26
NMSH;102012;Mittelschule;1855228.74,6073850.9;Baumgartengasse 15;7071;Rust;öffentl.;8;135;79;56
VS;103011;Volksschule;1863204.54,6097570.94;Gottfried Kumpf-Gasse 52;7091;Breitenbrunn am Neusiedler See;öffentl.;3;50;29;21
NMSH;103012;Mittelschule;1822966.52,6084901.52;Hauptstraße 32;2491;Neufeld an der Leitha;öffentl.;9;161;102;59
VS;103021;Volksschule;1852782.77,6090203.44;Schulgasse 12;7082;Donnerskirchen;öffentl.;4;61;31;30
VS;104141;Volksschule;1804046.65,5953390.52;Schulstraße 3;7543;Kukmirn;öffentl.;3;59;27;32
NMSH;103022;Mittelschule;1858327.22,6093012.72;Schmalkräftengasse 20;7083;Purbach am Neusiedler See;öffentl.;5;86;46;40
VS;103031;Volksschule;1835021.84,6079281.65;Schulgasse 9;7051;Großhöflein;öffentl.;5;88;49;39
NMSH;103032;Mittelschule;1842071.44,6070911.15;Haydnplatz 2;7011;Siegendorf;öffentl.;10;200;97;103
VS;103041;Volksschule;1831140.7,6086742.66;Schulgasse 10;7053;Hornstein;öffentl.;8;121;63;58
VS;103051;Volksschule;1841674.77,6066035.55;Neugasse 41;7013;Klingenbach;öffentl.;4;48;31;17
VS;103061;Volksschule;1834421.79,6096029.25;Schulgasse 24;2443;Leithaprodersdorf;öffentl.;3;55;27;28
VS;103071;Volksschule;1838412.95,6092862.43;Hauptplatz 5;2443;Loretto;öffentl.;1;9;4;5
VS;103081;Volksschule;1854814.05,6066409.01;Eschengasse 27;7072;Mörbisch am See;öffentl.;4;59;24;35
VS;103091;Volksschule;1831651.95,6080390.55;Weinberggasse 12a;7052;Müllendorf;öffentl.;4;72;38;34
VS;103101;Volksschule;1822966.52,6084901.52;Hauptstraße 32;2491;Neufeld an der Leitha;öffentl.;9;153;78;75
VS;103111;Volksschule;1854461.1,6078836.71;Schulgasse 6;7063;Oggau am Neusiedler See;öffentl.;4;63;41;22
VS;103121;Volksschule;1850320.53,6079226.88;Oslip, Hauptstraße 8;7064;Oslip;öffentl.;2;35;22;13
VS;103131;Volksschule;1858354.33,6093084.61;Landsatzgasse 10;7083;Purbach am Neusiedler See;öffentl.;6;101;52;49
VS;103141;Volksschule;1848503.98,6074174.25;Hauptplatz 5;7062;Sankt Margarethen im Burgenland;öffentl.;4;66;44;22
VS;103151;Volksschule;1850463.06,6082409.25;Schulstraße 4;7081;Schützen am Gebirge;öffentl.;4;63;39;24
VS;103161;Volksschule;1842046.44,6070872.73;Haydnplatz 1;7011;Siegendorf;öffentl.;10;154;86;68
VS;103171;Volksschule;1827370.72,6078951.6;Schulplatz 3;7035;Steinbrunn;öffentl.;11;162;81;81
VS;103181;Volksschule;1842132.06,6091142.28;Hofstatt 2;2443;Stotzing;öffentl.;2;41;29;12
VS;103191;Volksschule;1843179.23,6076015.89;DDr. Stefan Laszlo-Platz 2;7061;Trausdorf an der Wulka;öffentl.;5;69;47;22
VS;103201;Volksschule;1829127.98,6093343.2;Hauptstraße 12;2485;Wimpassing an der Leitha;öffentl.;5;99;55;44
VS;103211;Volksschule;1836142.76,6072594.82;Kirchenplatz 2;7041;Wulkaprodersdorf;öffentl.;7;93;55;38
ASTAT;103241;Privatschule Leithabergschule des Vereins für Potenzialentfaltung;1859008.06,6091579.58;Untere Bahngasse 55;7083;Purbach am Neusiedler See;privat;3;51;20;31
VS;104011;Volksschule;1800693.9,5965602.19;Herrengasse 19;7551;Bocksdorf;öffentl.;2;39;19;20
SS;104013;Allgemeine Sonderschule Sonderpädagogisches Zentrum;1799874.66,5968027.01;Sparkassenplatz 4;7551;Stegersbach;öffentl.;3;16;15;1
AHS;104016;Bundes-Oberstufenrealgymnasium;1817173.89,5952530.97;Schulstraße 17;7540;Güssing;öffentl.;12;223;104;119
VS;104021;Volksschule Burgauberg-Neudauberg;1794912.69,5967443.41;Höhenstraße 4;8291;Burgauberg;öffentl.;4;61;34;27
NMSH;104022;Sportmittelschule;1817045.79,5952372.88;Schulstraße 9;7540;Güssing;öffentl.;12;268;152;116
SS;104023;Allgemeine Sonderschule Sonderpädagogisches Zentrum;1817158,5950889.56;Batthyanystraße 23;7540;Güssing;öffentl.;5;25;15;10
VS;104031;Volksschule;1813051.88,5959987.08;Deutsch-Tschantschendorf 1;7544;Tobaj;öffentl.;3;49;26;23
NMSH;104032;Mittelschule;1799874.66,5968027.01;Sparkassenplatz 4;7551;Stegersbach;öffentl.;13;275;132;143
VS;104041;Volksschule;1832631.1,5959761.42;Marktstraße 29;7521;Eberau;öffentl.;4;52;27;25
NMSH;104042;Mittelschule;1811553.62,5962783.48;Schulstraße 250;7535;Sankt Michael im Burgenland;öffentl.;9;123;73;50
PS;104044;Polytechnische Schule;1799874.66,5968027.01;Sparkassenplatz 4;7551;Stegersbach;öffentl.;2;43;32;11
VS;104051;Volksschule;1809516.98,5953111.23;Schulstraße 3;7542;Gerersdorf bei Güssing;öffentl.;2;31;19;12
NMSH;104052;Private Mittelschule des Vereins Katholische Privatschule zum heiligen Josef in Eberau - Josefinum Eberau;1832631.1,5959761.42;Marktstraße 29;7521;Eberau;privat;6;96;48;48
VS;104071;Volksschule;1817158,5950889.56;Batthyanystraße 23;7540;Güssing;öffentl.;8;116;56;60
VS;104081;Volksschule;1813233.06,5967994.59;Schulweg 1/2;7536;Güttenbach;öffentl.;1;17;6;11
VS;104091;Volksschule;1793845.22,5973883.79;Hackerberg 77;8292;Neudau;öffentl.;1;11;8;3
VS;104111;Volksschule;1827609.77,5946967.31;Heiligenbrunn 3;7522;Strem;öffentl.;1;23;5;18
VS;104121;Volksschule;1816339.44,5944183.62;Inzenhof 8;7540;Güssing;öffentl.;1;16;8;8
VS;104151;Volksschule;1799991.33,5951847.8;Hauptstraße 4;7543;Limbach;öffentl.;1;19;9;10
VS;104161;Volksschule;1834146.19,5951244.43;Moschendorf 84;7540;Güssing;öffentl.;1;11;8;3
VS;104171;Volksschule;1809974.87,5969767.19;Hauptplatz 3;7537;Neuberg im Burgenland;öffentl.;2;23;13;10
VS;104231;Volksschule;1803770,5972924.06;Olbendorf 4;7534;Olbendorf;öffentl.;3;50;24;26
VS;104241;Volksschule;1798552.43,5971278.62;Kirchengasse 44;7533;Ollersdorf im Burgenland;öffentl.;2;34;15;19
VS;104271;Volksschule;1811553.62,5962783.48;Schulstraße 250;7535;Sankt Michael im Burgenland;öffentl.;3;42;25;17
VS;104281;Volksschule;1798850.19,5968598.7;Kirchengasse 23;7551;Stegersbach;öffentl.;6;89;54;35
VS;104291;Volksschule;1796191.29,5975448.94;Hauptplatz 4;7552;Stinatz;öffentl.;3;41;18;23
VS;104301;Volksschule;1827069.61,5949031.73;Hauptstraße 1;7522;Strem;öffentl.;2;28;13;15
VS;104341;Volksschule;1791958.3,5978354.75;Wörterberg 139;8293;Wörth an der Lafnitz;öffentl.;2;35;17;18
BMHSK;104418;Bundeshandelsakademie und Bundeshandelsschule;1798877.06,5968831.24;Kirchengasse 44;7551;Stegersbach;öffentl.;15;316;137;179
BSTAT;104419;Privatschule Schule für Sozialbetreuungsberufe des Vereins zur Errichtung und Erhaltung von Schulen für Sozialberufe im Burgenland;1817173.89,5952530.97;Schulstraße 17;7540;Güssing;privat;2;25;9;16
BMHSW;104429;Höhere Bundeslehranstalt für wirtschaftliche Berufe;1817173.89,5952530.97;Schulstraße 17;7540;Güssing;öffentl.;9;145;55;90
LFMS;104710;Landwirtschaftliche Fachschule;1818116.91,5952438.84;Stremtalstraße 19;7540;Güssing;öffentl.;3;83;42;41
GKS;104910;BFI Burgenland -  Pflegeausbildung am Standort Güssing;1816594.9,5954629.33;Wienerstraße 60;7540;Güssing;privat;0;21;7;14
VS;105011;Volksschule;1793243.92,5955641.88;Untere Marktstraße 35;7572;Deutsch Kaltenbrunn;öffentl.;2;46;19;27
NMSH;105012;Mittelschule;1797654.93,5932541.97;Schulstraße 2;8380;Jennersdorf;öffentl.;16;273;131;142
AHS;105016;Bundes-Oberstufenrealgymnasium;1797670.21,5932687.97;Schulstraße 4;8380;Jennersdorf;öffentl.;8;180;79;101
NMSH;105022;Mittelschule;1784798.52,5920958.08;Hauptstraße 2;8385;Neuhaus am Klausenbach;öffentl.;6;98;53;45
VS;105031;Volksschule;1803032.41,5943409.93;Kirchenstraße 18;7562;Eltendorf;öffentl.;2;27;17;10
NMSH;105032;Mittelschule;1795042.53,5950360.01;Schulgasse 1;7571;Rudersdorf;öffentl.;8;135;74;61
VS;105041;Volksschule;1794303.66,5934408.62;Grieselstein Dorf 33;8380;Jennersdorf;öffentl.;1;13;6;7
VS;105051;Volksschule;1809225.21,5940379.61;Schulstraße 1;7561;Heiligenkreuz im Lafnitztal;öffentl.;2;31;14;17
VS;105061;Volksschule;1797437.89,5939165.59;Mitterhenndorf 22;8380;Jennersdorf;öffentl.;1;12;10;2
VS;105071;Volksschule;1797120.89,5931798.29;Wollingergasse 1;8380;Jennersdorf;öffentl.;4;81;44;37
VS;105091;Volksschule;1800160.15,5942953.22;Kirchenplatz 5;7563;Königsdorf;öffentl.;1;18;7;11
VS;105111;Volksschule;1801927.62,5935234.77;Maria-Bild Nr. 2;8382;Maria-Bild;öffentl.;1;17;8;9
VS;105121;Volksschule;1788990.52,5922972.05;Minihof-Liebau 21;8384;Minihof-Liebau;öffentl.;2;37;19;18
VS;105131;Volksschule;1806550.82,5933681;Mogersdorf 200;8382;Mogersdorf;öffentl.;2;37;21;16
VS;105141;Volksschule;1785246.54,5923605.13;Obere Dorfstraße 2/1;8385;Mühlgraben;öffentl.;1;12;5;7
VS;105151;Volksschule;1784741.8,5920928.22;Hauptstraße 3;8385;Neuhaus am Klausenbach;öffentl.;2;36;19;17
VS;105191;Volksschule;1795032.94,5950257.45;Schulgasse 3;7571;Rudersdorf;öffentl.;4;72;46;26
VS;105201;Volksschule;1796496.12,5929212.61;Hauptstraße 1;8383;Sankt Martin an der Raab;öffentl.;4;57;30;27
ASTAT;105261;Kolibri - Schule für ganzheitliches Lernen des Trägervereins von Kolibri Schule für ganzheitliches Lernen;1789638.19,5930027.27;Deutscheckerstraße 2;8383;Welten;privat;3;39;22;17
NMSH;106012;Mittelschule;1826616.1,6063373.72;Wulkalände 4;7210;Mattersburg;öffentl.;16;338;202;136
SS;106013;Allgemeine Sonderschule Sonderpädagogisches Zentrum;1826646.78,6063321.6;Bauweltstraße 5;7210;Mattersburg;öffentl.;8;45;23;22
BS;106015;Berufsschule;1826148.99,6063215.92;Bahnstraße 41;7210;Mattersburg;öffentl.;17;283;258;25
AHS;106016;Bundesgymnasium und Bundesrealgymnasium;1825719.51,6063108.3;Hochstraße 1;7210;Mattersburg;öffentl.;34;754;341;413
NMSH;106022;Mittelschule;1814353.41,6072956.02;Kirchplatz 1;7201;Neudörfl;öffentl.;11;217;109;108
VS;106031;Volksschule Draßburg-Baumgarten;1835832.35,6063798.56;Schulgasse 1;7021;Draßburg;öffentl.;7;80;38;42
NMSH;106032;Mittelschule;1838398.98,6058800.63;Fabriksgasse 53;7022;Schattendorf;öffentl.;5;81;45;36
PS;106034;Polytechnische Schule;1826027.35,6063633.29;Michael-Koch-Straße 44;7210;Mattersburg;öffentl.;2;47;29;18
VS;106041;Volksschule;1819972.3,6059359.19;Hauptstraße 89;7212;Forchtenstein;öffentl.;6;101;56;45
VS;106051;Volksschule;1831684.99,6071494.37;Hauptplatz 9;7024;Hirm;öffentl.;2;47;19;28
VS;106061;Volksschule;1834745.54,6056689.09;Badstraße 3;7020;Loipersbach im Burgenland;öffentl.;2;41;22;19
VS;106071;Volksschule;1827412.96,6059618.77;Schulstraße 16;7221;Marz;öffentl.;4;78;36;42
VS;106081;Volksschule;1825517.91,6063412.03;Schulgasse 2;7210;Mattersburg;öffentl.;14;286;142;144
VS;106091;Volksschule;1813651.5,6073555.04;Zollikofenplatz 1;7201;Neudörfl;öffentl.;9;168;90;78
VS;106111;Volksschule;1822698.04,6074462.28;Hauptstraße 43;7033;Pöttsching;öffentl.;7;110;60;50
VS;106121;Volksschule;1828784.97,6058267.52;Hauptplatz 1;7222;Rohrbach bei Mattersburg;öffentl.;5;91;39;52
VS;106131;Volksschule;1817289.29,6069857.93;Mattersburger Straße 4;7202;Bad Sauerbrunn;öffentl.;7;101;56;45
VS;106141;Volksschule;1838231.1,6058722.19;Kirchenplatz 1;7022;Schattendorf;öffentl.;6;95;47;48
VS;106151;Volksschule;1823369.17,6048410.93;Untere Hauptstraße 17;7223;Sieggraben;öffentl.;2;44;25;19
VS;106161;Volksschule;1825325.51,6069704.22;Schulgasse 2;7032;Sigleß;öffentl.;4;69;45;24
VS;106181;Volksschule;1818790.61,6063491.94;Bahnstraße 4;7203;Wiesen;öffentl.;4;76;43;33
VS;106191;Volksschule;1831645.82,6068002.19;Hauptstraße 103;7023;Zemendorf-Stöttera;öffentl.;4;66;36;30
VS;106201;Volksschule;1834238.17,6069220.08;Hauptplatz 1;7042;Antau;öffentl.;2;23;10;13
ASTAT;106211;Montessori Privatschule Bad Sauerbrunn des Montessori Pädagogik Verein Bad Sauerbrunn;1817508.14,6068734.69;Hartiggasse 10a;7202;Bad Sauerbrunn;privat;1;19;2;17
BMHSK;106418;Bundeshandelsakademie und Bundeshandelsschule;1826027.35,6063633.29;Michael-Koch-Straße 44;7210;Mattersburg;öffentl.;16;289;176;113
GKS;106910;BFI Burgenland - Pflegeausbildung am Standort Mattersburg;1824756.45,6062835.11;Schubertstraße 53;7210;Mattersburg;privat;0;16;1;15
NMSH;107012;Mittelschule;1895869.25,6069322.24;Schulgasse 3;7163;Andau;öffentl.;5;79;42;37
SS;107013;Allgemeine Sonderschule Sonderpädagogisches Zentrum;1884399.07,6079662.48;Kirchenplatz 1b;7132;Frauenkirchen;öffentl.;7;41;25;16
PS;107014;Polytechnische Schule;1875065.25,6097070.43;Sportzentrum 3;7100;Neusiedl am See;öffentl.;2;36;22;14
AHS;107016;Bundesgymnasium und Bundesrealgymnasium;1875086.21,6097226.41;Bundesschulstraße 3;7100;Neusiedl am See;öffentl.;40;917;424;493
VS;107021;Volksschule;1895922.27,6069339.77;Neubauviertel, Schulgasse 3;7163;Andau;öffentl.;4;69;33;36
NMSH;107022;Sportmittelschule;1884273.48,6079743.33;Kirchenplatz 1d;7132;Frauenkirchen;öffentl.;8;149;74;75
PS;107024;Polytechnische Schule;1884360.5,6079819.57;Kirchenplatz 1;7132;Frauenkirchen;öffentl.;2;39;26;13
VS;107031;Volksschule;1873581.69,6064274.6;Kirchengasse 7;7143;Apetlon;öffentl.;2;38;20;18
NMSH;107032;Mittelschule;1883845.66,6089442.33;Badgasse 8;7122;Gols;öffentl.;12;265;136;129
VS;107041;Volksschule;1904458.22,6108061.33;Neubaugasse 27;2423;Deutsch Jahrndorf;öffentl.;2;29;9;20
NMSH;107042;Mittelschule;1870804.49,6066930.56;Zickhöhe 25;7142;Illmitz;öffentl.;4;64;41;23
NMSH;107052;Mittelschule;1899211.8,6122788.14;Schulstraße 3;2421;Kittsee;öffentl.;8;163;79;84
VS;107061;Volksschule;1884399.07,6079662.48;Kirchenplatz 1b;7132;Frauenkirchen;öffentl.;7;108;50;58
NMSH;107062;Sportmittelschule;1875065.25,6097070.43;Sportzentrum 3;7100;Neusiedl am See;öffentl.;19;398;230;168
VS;107071;Volksschule;1890742.03,6109516.72;Untere Dorfstraße 8-10;2474;Gattendorf;öffentl.;6;99;52;47
NMSH;107072;Mittelschule;1881730.73,6057153.68;Schulgasse 2;7152;Pamhagen;öffentl.;4;65;50;15
VS;107081;Volksschule Erwin Moser Volksschule Gols;1881902.73,6090064.96;Obere Hauptstraße 5;7122;Gols;öffentl.;8;139;74;65
NMSH;107082;Mittelschule;1893444.91,6104300.41;Mühlgasse 42;2424;Zurndorf;öffentl.;8;148;77;71
VS;107091;Volksschule;1889615.97,6085423.49;Budapesterstraße 2;7131;Halbturn;öffentl.;4;62;34;28
NMSH;107092;Private römisch-katholische Mittelschule der Vereinigung von Ordensschulen Österreichs;1875484.12,6097773.09;Untere Hauptstraße 66;7100;Neusiedl am See;privat;10;240;86;154
VS;107101;Volksschule;1870828.44,6066877.04;Zickhöhe 25;7142;Illmitz;öffentl.;5;82;37;45
VS;107111;Volksschule;1869643.36,6100176.78;Untere Hauptstraße 42;7093;Jois;öffentl.;2;43;17;26
VS;107131;Volksschule;1899211.8,6122788.14;Schulstraße 3;2421;Kittsee;öffentl.;13;265;140;125
VS;107141;Volksschule;1885700.59,6087283.24;Kirchenplatz 2;7123;Mönchhof;öffentl.;4;64;42;22
VS;107151;Volksschule;1884695.27,6109322.12;Untere Hauptstraße 1;2475;Neudorf;öffentl.;3;35;22;13
VS;107161;Volksschule;1874843.99,6098731.41;Am Tabor;7100;Neusiedl am See;öffentl.;13;248;141;107
VS;107171;Volksschule;1900515.88,6096148.82;Lindengasse 26;2425;Nickelsdorf;öffentl.;4;84;44;40
VS;107181;Volksschule;1896407.82,6114994.07;Schulgasse 1;2422;Pama;öffentl.;4;58;33;25
VS;107191;Volksschule;1881773.35,6057102.43;Schulgasse 2;7152;Pamhagen;öffentl.;2;45;24;21
VS;107201;Volksschule;1877314.31,6106586.35;Schulgasse 2;7111;Parndorf;öffentl.;16;253;125;128
VS;107211;Volksschule;1874120.35,6082475.52;Schulplatz 1;7141;Podersdorf am See;öffentl.;4;64;39;25
VS;107231;Volksschule;1885417.97,6070918.09;Kirchenplatz 1;7161;Sankt Andrä am Zicksee;öffentl.;2;45;21;24
VS;107241;Volksschule;1891100.25,6067528.03;Obere Hauptstraße 5;7162;Tadten;öffentl.;1;22;11;11
VS;107251;Volksschule;1885206.3,6061132.6;Kirchengasse 22;7151;Wallern im Burgenland;öffentl.;2;43;20;23
VS;107261;Volksschule;1877716.79,6094769.83;Schulzeile 5;7121;Weiden am See;öffentl.;6;103;58;45
VS;107271;Volksschule;1865580.77,6098692.11;Bergäckerstraße 2-8;7092;Winden am See;öffentl.;2;36;22;14
VS;107281;Volksschule;1893444.91,6104300.41;Mühlgasse 42;2424;Zurndorf;öffentl.;7;103;50;53
VS;107311;Private römisch-katholische Volksschule der Vereinigung von Ordensschulen Österreichs;1875484.12,6097773.09;Untere Hauptstraße 66;7100;Neusiedl am See;privat;8;180;84;96
ASTAT;107331;Privatschule Waldorfschule Pannonia des Waldorfvereins Pannonia;1873515.74,6098592.28;Obere Wiesen 11;7100;Neusiedl am See;privat;4;66;44;22
VS;107341;Volksschule;1867410.68,6109906.91;Gärtnergasse 1;2460;Bruckneudorf;öffentl.;3;59;27;32
BMHSK;107428;Bundeshandelsakademie und Bundeshandelsschule Frauenkirchen;1884399.07,6079662.48;Kirchenplatz 1e;7132;Frauenkirchen;öffentl.;20;424;192;232
BMHSK;107438;Bundeshandelsakademie und Bundeshandelsschule Neusiedl/See;1874848.2,6097306.66;Bundesschulstraße 4;7100;Neusiedl am See;öffentl.;20;462;189;273
BMHSW;107449;Höhere Bundeslehranstalt für wirtschaftliche Berufe und Höhere gewerbliche Bundeslehranstalt PANNONEUM;1874848.2,6097306.66;Bundesschulstraße 4;7100;Neusiedl am See;öffentl.;30;675;189;486
GKS;107910;BFI Burgenland - Pflegeausbildung am Standort Neusiedl;1874843.37,6101964.63;Ludwig Boltzmannstraße 2;7100;Neusiedl am See;privat;0;23;4;19
GKS;107920;Schule für allgemeine Gesundheits- und Krankenpflege - Expositur Frauenkirchen;1884342.33,6079720.34;Kirchenplatz 1c;7132;Frauenkirchen;öffentl.;0;99;11;88
NMSH;108012;Mittelschule;1850660.68,6040219.81;Hauptstraße 66;7301;Deutschkreutz;öffentl.;4;69;37;32
SS;108013;Allgemeine Sonderschule;1837975.67,6023688.91;Eisenstädterstraße 9;7350;Oberpullendorf;öffentl.;6;35;17;18
AHS;108016;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;1836942.87,6025008.42;Gymnasiumstraße 21;7350;Oberpullendorf;öffentl.;27;572;231;341
VS;108021;Volksschule;1850660.68,6040219.81;Hauptstraße 66;7301;Deutschkreutz;öffentl.;8;117;53;64
NMSH;108022;Mittelschule;1843179.43,6030141.82;Schulstraße 3;7304;Großwarasdorf;öffentl.;4;58;26;32
NMSH;108032;Mittelschule;1841926.54,6038411.69;Bachgasse 3a;7312;Horitschon;öffentl.;9;175;87;88
VS;108041;Volksschule;1833894.81,6022193.77;Dörfl,Obere Hauptstraße 119;7453;Steinberg-Dörfl;öffentl.;3;53;30;23
NMSH;108042;Mittelschule;1825063.19,6040230.36;Badgasse 13;7332;Kobersdorf;öffentl.;9;177;96;81
VS;108051;Volksschule;1824973.74,6025856.91;Schulgasse;7372;Draßmarkt;öffentl.;2;38;22;16
PS;108054;Polytechnische Schule;1837514.53,6024968.11;Spitalstraße 33;7350;Oberpullendorf;öffentl.;3;60;44;16
NMSH;108062;Mittelschule;1827507.45,6009111.28;Hauptstraße 1;7442;Lockenhaus;öffentl.;10;140;78;62
NMSH;108072;Mittelschule;1837975.67,6023688.91;Eisenstädterstraße 9;7350;Oberpullendorf;öffentl.;6;102;64;38
VS;108081;Volksschule;1843114.7,6030130.91;Schulstraße 3;7304;Großwarasdorf;öffentl.;2;34;15;19
NMSH;108082;Mittelschule;1833942.49,6029606.15;Schulgasse 6;7344;Stoob;öffentl.;6;118;65;53
NMSH;108092;Private römisch-katholische Mittelschule der Schwestern vom Göttlichen Erlöser;1835354.79,6020017.7;Untere Hauptstraße 17;7453;Steinberg-Dörfl;privat;7;144;58;86
VS;108111;Volksschule;1841896.53,6038418.38;Schulgasse 19;7312;Horitschon;öffentl.;3;51;24;27
VS;108121;Volksschule;1824874.5,6030158.49;Hauptstraße 17;7342;Kaisersdorf;öffentl.;2;22;9;13
VS;108131;Volksschule;1825448.26,6043698.61;Schulgasse 1;7331;Kalkgruben;öffentl.;1;14;8;6
VS;108171;Volksschule;1825043.76,6040185.08;Badgasse 12;7332;Kobersdorf;öffentl.;2;43;19;24
VS;108201;Volksschule;1852883.2,6028363.14;Kroatisch Minihof;7302;Nikitsch;öffentl.;1;12;5;7
VS;108211;Volksschule;1832479.39,6038766.7;Mühlgasse 4;7322;Lackenbach;öffentl.;2;26;22;4
VS;108221;Volksschule;1837417.64,6038717.68;Schulgasse 1;7321;Lackendorf;öffentl.;2;29;10;19
VS;108271;Volksschule;1827507.45,6009111.28;Hauptstraße 1;7442;Lockenhaus;öffentl.;5;79;37;42
VS;108281;Volksschule;1852322.61,6017684.84;Schulgasse 15;7361;Lutzmannsburg;öffentl.;2;25;16;9
VS;108291;Volksschule;1839891.89,6012282.61;Hauptstraße 19;7444;Mannersdorf an der Rabnitz;öffentl.;2;42;23;19
VS;108301;Volksschule;1828624.27,6034544.21;Kirchenplatz 11;7341;Markt Sankt Martin;öffentl.;3;51;25;26
VS;108321;Volksschule;1842196.56,6041025.45;Feldgasse 12;7311;Neckenmarkt;öffentl.;3;56;31;25
VS;108341;Volksschule;1830974.83,6031324.72;Kirchengasse 13;7343;Neutal;öffentl.;3;49;25;24
VS;108351;Volksschule;1854433.36,6030058.38;Hauptstraße 101-103;7302;Nikitsch;öffentl.;3;39;20;19
VS;108361;Volksschule;1837559.27,6014948.89;Schulgasse 3;7451;Oberloisdorf;öffentl.;2;40;21;19
VS;108371;Volksschule;1822780.23,6042982;Oberpetersdorf,Schulgasse 2;7332;Kobersdorf;öffentl.;1;12;7;5
VS;108381;Volksschule;1837975.67,6023688.91;Eisenstädterstraße 9;7350;Oberpullendorf;öffentl.;8;115;56;59
VS;108401;Volksschule;1820066.24,6013713.54;Schulgasse 1;7441;Pilgersdorf;öffentl.;4;64;31;33
VS;108411;Volksschule;1827320.9,6015344.91;Bundesstraße 14;7371;Piringsdorf;öffentl.;2;32;17;15
BMHST;108417;Landesfachschule für Keramik und Ofenbau;1834095.18,6028130.34;Keramikstraße 16;7344;Stoob;privat;6;72;27;45
VS;108421;Volksschule;1840626.56,6035096.53;Jägerzeile 4;7321;Raiding;öffentl.;2;38;16;22
BMHSW;108429;Fachschule für wirtschaftliche Berufe und Hauswirtschaftsschule der Schwestern vom Göttlichen Erlöser;1835354.79,6020017.7;Untere Hauptstraße 17;7453;Steinberg-Dörfl;privat;2;23;8;15
VS;108431;Volksschule;1836677.85,6009128.44;Rattersdorf, Schulgasse 2;7443;Rattersdorf-Liebing;öffentl.;1;23;14;9
BMHSK;108438;Bundeshandelsakademie und Bundeshandelsschule;1837002.72,6024830.55;Gymnasiumstraße 19;7350;Oberpullendorf;öffentl.;15;304;120;184
